#x	y
15	326
30	662
45	1285
60	2565
75	8419
90	38983
105	79898
120	114106
135	173127
150	231461
165	350830
180	499024
195	1.06385e+07
210	6.71422e+06
225	2.75349e+06
240	2.64364e+06
255	4.57932e+06
270	2.26734e+07
285	3.44128e+07
300	4.81018e+07
315	5.69038e+07
330	7.07686e+07
345	7.81404e+07
360	9.43931e+07
375	1.06731e+08
390	1.12335e+08
405	1.34302e+08
420	1.5018e+08
435	1.67001e+08
450	1.85034e+08
465	2.04261e+08
480	2.26426e+08
495	2.49182e+08
510	2.71585e+08
525	3.58939e+08
540	4.39586e+08
