#x	y
128	0.001
256	0.01
384	0.049
512	0.145
640	0.319
768	2.057
896	6.719
1024	10.451
1152	13.534
1280	21.597
1408	26.374
1536	41.394
1664	46.889
1792	79.657
1920	114.967
2048	90.574
