#x	y
100	3.2308e+06
101	3.32042e+06
102	3.42518e+06
103	3.53286e+06
104	3.62125e+06
105	3.73095e+06
106	3.82666e+06
107	3.94299e+06
108	4.08024e+06
109	4.16212e+06
110	4.32797e+06
111	4.40034e+06
112	4.68598e+06
113	4.66337e+06
114	4.75645e+06
115	4.94692e+06
116	4.99484e+06
117	5.11298e+06
118	5.26834e+06
119	5.38862e+06
120	5.85306e+06
121	5.69944e+06
122	5.91561e+06
123	6.73489e+06
124	6.96282e+06
125	7.78097e+06
126	9.80238e+06
127	6.51364e+06
128	6.66506e+06
129	6.85105e+06
130	7.02921e+06
