#x	y
32	375
45	709
64	1033
90	1329
128	1628
181	1936
256	2231
362	2526
512	2815
724	3101
1024	3344
1448	3625
2048	3841
2896	4070
4096	4358
5792	4665
8192	4950
11585	5273
16384	5586
23170	5891
32768	6192
46340	6471
65536	6786
92681	7090
131072	7419
185363	7771
262144	8103
370727	8428
524288	8707
741455	9056
1048576	9382
1482910	9740
2097152	10132
2965820	10489
4194304	10882
5931641	11286
8388608	11716
11863283	12158
16777216	12632
23726566	13120
33554432	13611
47453132	14116
67108864	14831
94906265	15590
134217728	16399
189812531	17199
268435456	18145
