#x	y
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0.001
14	0.001
15	0.001
16	0.002
17	0.002
18	0.002
19	0.002
20	0.003
21	0.003
22	0.003
23	0.004
24	0.004
25	0.005
26	0.005
27	0.006
28	0.006
29	0.006
30	0.007
31	0.008
32	0.008
33	0.008
34	0.009
35	0.01
36	0.01
37	0.01
38	0.012
39	0.012
40	0.014
41	0.014
42	0.014
43	0.015
44	0.016
45	0.016
46	0.016
47	0.018
48	0.018
49	0.019
50	0.02
51	0.021
52	0.021
53	0.023
54	0.023
55	0.025
56	0.026
57	0.028
58	0.028
59	0.03
60	0.03
61	0.029
62	0.031
63	0.033
64	0.035
65	0.037
66	0.036
67	0.037
68	0.037
69	0.039
70	0.04
71	0.042
72	0.043
73	0.046
74	0.044
75	0.046
76	0.048
77	0.05
78	0.049
79	0.052
80	0.051
81	0.053
82	0.053
83	0.053
84	0.056
85	0.058
86	0.056
87	0.059
88	0.059
89	0.059
90	0.061
91	0.062
92	0.063
93	0.066
94	0.066
95	0.067
96	0.073
97	0.071
98	0.072
99	0.073
100	0.073
101	0.077
102	0.078
103	0.08
104	0.082
105	0.083
106	0.084
107	0.085
108	0.086
109	0.087
110	0.089
111	0.092
112	0.089
113	0.093
114	0.104
115	0.099
116	0.1
117	0.103
118	0.106
119	0.107
120	0.107
121	0.191
122	0.147
123	0.137
124	0.171
125	0.228
126	0.151
127	0.142
128	0.148
129	0.168
130	0.15
131	0.263
132	0.245
133	0.219
134	0.208
135	0.183
136	0.197
137	0.213
138	0.194
139	0.208
140	0.188
141	0.209
142	0.223
143	0.217
144	0.22
145	0.277
146	0.234
147	0.255
148	0.301
149	0.234
150	0.34
151	0.307
152	0.308
153	0.323
154	0.293
155	0.307
156	0.307
157	0.299
158	0.304
159	0.327
160	0.309
161	0.317
162	0.345
163	0.341
164	0.347
165	0.334
166	0.365
167	0.358
168	0.357
169	0.367
170	0.356
171	0.376
172	0.409
173	0.382
174	0.393
175	0.383
176	0.413
177	0.381
178	0.407
179	0.45
180	0.448
181	0.403
182	0.4
183	0.456
184	0.421
185	0.465
186	0.428
187	0.457
188	0.495
189	0.491
190	0.473
191	0.563
192	0.487
193	0.492
194	0.547
195	0.605
196	0.505
197	0.528
198	0.63
199	0.528
200	0.558
