#x	y
32	0.155731
45	0.135743
64	0.138932
90	0.13728
128	0.148712
181	0.14493
256	0.14311
362	0.143264
512	0.143368
724	0.14225
1024	0.143109
1448	0.144649
2048	0.147139
2896	0.14778
4096	0.144835
5792	0.140428
8192	0.135662
11585	0.126927
16384	0.113608
23170	0.0996957
32768	0.0912484
46340	0.078314
65536	0.0648697
92681	0.0537437
131072	0.0465853
185363	0.0426731
262144	0.0414777
370727	0.0425859
524288	0.0517051
741455	0.066562
1048576	0.0891437
1482910	0.115552
2097152	0.12507
2965820	0.135654
4194304	0.136243
5931641	0.135338
8388608	0.132576
11863283	0.12754
16777216	0.122094
23726566	0.116817
33554432	0.114983
47453132	0.113419
67108864	0.11218
94906265	0.113374
134217728	0.117822
189812531	0.148669
268435456	0.1711
